
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[508](10:07:21)192.168.1.32: Timeout
[509](10:07:22)[0]-- TIME:20081026-100722

[510](10:07:23)[1]-- TIME:20081026-100723

[511](10:07:24)[2]-- TIME:20081026-100724

[512](10:07:25)[3]-- TIME:20081026-100725

[513](10:07:25)192.168.1.31: Timeout
[514](10:07:25)192.168.1.32: Timeout
[515](10:07:26)[0]-- TIME:20081026-100726

[516](10:07:27)[1]-- TIME:20081026-100727

[517](10:07:28)[2]-- TIME:20081026-100728

[518](10:07:29)[3]-- TIME:20081026-100729

[519](10:07:29)192.168.1.31: Timeout
[520](10:07:29)192.168.1.32: Timeout
[521](10:07:30)[0]-- TIME:20081026-100730

[522](10:07:31)[1]-- TIME:20081026-100731

[523](10:07:32)[2]-- TIME:20081026-100732

[524](10:07:33)[3]-- TIME:20081026-100733

[525](10:07:33)192.168.1.31: Timeout
[526](10:07:33)192.168.1.32: Timeout
[527](10:07:34)[0]-- TIME:20081026-100734

[528](10:07:35)[1]-- TIME:20081026-100735

[529](10:07:36)[2]-- TIME:20081026-100736

[530](10:07:37)[3]-- TIME:20081026-100737

[531](10:07:37)192.168.1.31: Timeout
[532](10:07:37)192.168.1.32: Timeout
[533](10:07:38)[0]-- TIME:20081026-100738

[534](10:07:39)[1]-- TIME:20081026-100739

[535](10:07:40)[2]-- TIME:20081026-100740

[536](10:07:41)[3]-- TIME:20081026-100741

[537](10:07:41)192.168.1.31: Timeout
[538](10:07:41)192.168.1.32: Timeout
[539](10:07:42)[0]-- TIME:20081026-100742

[540](10:07:43)[1]-- TIME:20081026-100743

[541](10:07:44)[2]-- TIME:20081026-100744

[542](10:07:45)[3]-- TIME:20081026-100745

[543](10:07:45)192.168.1.31: Timeout
[544](10:07:45)192.168.1.32: Timeout
[545](10:07:46)[0]-- TIME:20081026-100746

[546](10:07:47)[1]-- TIME:20081026-100747

[547](10:07:48)[2]-- TIME:20081026-100748

